name,layer,dmpl_category,address,city,state,zip,phone,toolkit_resources,web_link
"AARP Free Tax-Aide Prep","Virtual / Regional (No Address)","Financial Assistance","","","","","1.866.554.5378","AARP Foundation Tax-Aide volunteers provide free tax assistance with several preparation options. Access to the different types of taxpayer service type varies in each locality. Search for locations near you using the tax-aide locator on their website.","https://www.aarp.org/money/taxes/aarp-taxaide/locations/"
"Aging Resources of Central Iowa","Physical Location","General Assistance","5835 Grand Avenue, Suite #106","Des Moines","IA","50312","515.255.1310","Provides guidance about and lists of assisted living and memory care facilities, nursing and skilled care facilities, in home providers, and more.","https://www.agingresources.com/resources/"
"Al Exito!","Virtual / Regional (No Address)","Education","","","","","515.344.3228","Provides Iowa Latinx middle and high school students with after-school programs to develop leadership skills along with college and career readiness.","https://www.alexitoiowa.org/"
"Al-Anon","Physical Location","Substance Abuse","939 Office Park Rd. Suite 113","West Des Moines","IA","50265","515.277.5059","The Al-Anon Family Groups are a fellowship of relatives and friends of alcoholics who share their experience, strength, and hope in order to solve their common problems. We believe alcoholism is a family illness, and that changed attitudes can aid recovery.","https://iowa-al-anon.org/"
"Alcoholics Anonymous","Physical Location","Substance Abuse","1620 Pleasant Street, Suite 228","Des Moines","IA","50314","515.282.8550","A fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism. Hours: Monday, Wednesday, Friday: 9 AM-4 PM; Tuesday, Thursday: 12 PM-7 PM. 24/7 Hotline: 1.800.207.2172.","https://aadesmoines.org/"
"Amanda the Panda Support Groups","Physical Location","Grief","1821 Grand Ave.","West Des Moines","IA","50265","515.223.4847","Provides support groups for both adults and children who are grieving the death of a loved one at no charge.","https://everystep.org/grief-loss/amanda-the-panda"
"American Foundation for Suicide Prevention","Virtual / Regional (No Address)","Hotlines","","","","","Call or Text 988","The American Foundation for Suicide Prevention has many resources for survivors; go to their website and search by zip code. Immediate 24/7 assistance available by calling or texting 988.","https://afsp.org/"
"American Red Cross","Physical Location","General Assistance","2116 Grand Ave.","Des Moines","IA","50312","1.515.243.7681, 1.800.733.2767","Provides disaster relief and recovery, post-emergency recovery, financial assistance, deployment support, veteran services, and community resource referrals. 24/7 Hotline: 1 (800) 733-2767.","https://www.redcross.org/"
"Anawim Housing","Physical Location","Shelters","2024 Forest Ave Suite 101","Des Moines","IA","50311","515.244.8308","Provides subsidized rentals for eligible low- and moderate-income families and individuals as well as seniors in need of assisted living.","https://www.anawimhousing.org"
"ArtForce Iowa","Virtual / Regional (No Address)","Education","","","","","515.777.3182","Artist Mentors spend quality time with struggling youth to encourage creative self-expression, work skills development, and advocacy in a safe supportive community.","http://www.artforceiowa.org/"
"ASK Family Resource Center","Physical Location","Disabilities","6165 NW 86th St. Ste. 234","Johnston","IA","50131","515.243.1713, 1.800.450.8667","ASK (Access for Special Kids) Resource Center is a parent training, information, and advocacy center for families of children with special needs across the state of Iowa.","https://www.askresource.org/"
"Autism Resources at U.S. Airports (travelingwiki.com)","Virtual / Regional (No Address)","Disabilities","","","","","","Lists which airports have autism-friendly quiet rooms, along with other traveling resources for people with autism.","https://travelingwiki.com/"
