name,layer,dmpl_category,address,city,state,zip,phone,toolkit_resources,web_link,full_address
AARP Free Tax-Aide Prep,Virtual / Regional (No Address),Financial Assistance,,,,,1.866.554.5378,AARP Foundation Tax-Aide volunteers provide free tax assistance with several preparation options. Access to the different types of taxpayer service type varies in each locality. Search for locations near you using the tax-aide locator on their website.,https://www.aarp.org/money/taxes/aarp-taxaide/locations/,
Al Exito!,Virtual / Regional (No Address),Education,,,,,515.344.3228,Provides Iowa Latinx middle and high school students with after-school programs to develop leadership skills along with college and career readiness.,https://www.alexitoiowa.org/,
American Foundation for Suicide Prevention,Virtual / Regional (No Address),Hotlines,,,,,Call or Text 988,The American Foundation for Suicide Prevention has many resources for survivors; go to their website and search by zip code. Immediate 24/7 assistance available by calling or texting 988.,https://afsp.org/,
ArtForce Iowa,Virtual / Regional (No Address),Education,,,,,515.777.3182,"Artist Mentors spend quality time with struggling youth to encourage creative self-expression, work skills development, and advocacy in a safe supportive community.",http://www.artforceiowa.org/,
Autism Resources at U.S. Airports (travelingwiki.com),Virtual / Regional (No Address),Disabilities,,,,,,"Lists which airports have autism-friendly quiet rooms, along with other traveling resources for people with autism.",https://travelingwiki.com/,
Book Buddy,Virtual / Regional (No Address),Education,,,,,,Helps children build pre-reading skills before kindergarten. Volunteers read one-on-one with four-year-olds at early childhood centers for 40 mins/week. Sign up via bookbuddy@unitedwaydm.org.,https://www.unitedwaydm.org/book-buddy.,
Brain Injury Association of Iowa,Virtual / Regional (No Address),Disabilities,,,,,1.855.444.6443,"Provides resource connection, technical navigation, and organized support groups for individuals surviving brain injuries and their families.",https://biaia.org/,
By Degrees Foundation,Virtual / Regional (No Address),Education,,,,,515.650.8230,Partners directly inside Findley and King Elementary and Harding Middle School to increase graduation and postsecondary readiness rates by engaging localized community partnerships.,https://www.bydegreesfoundation.org/,
Change Course,Virtual / Regional (No Address),Job Assistance,,,,,515.779.6108,"Employment training, personal development, skill development, and one-on-one coaching sessions for individuals striving for career-track and high-wage jobs.",https://change-course.org/,
Chic Behavioral Health and Community Services,Virtual / Regional (No Address),Mental Health,,,,,319.504.3186,"Provides programs for youth and families to navigate trauma. Includes group therapy for youth/teens, support groups for teen mothers, career exploration, financial literacy, and behavioral support.",https://chiccommunityservices.org/,
Child and Dependent Adult Abuse Hotline,Virtual / Regional (No Address),Hotlines,,,,,1.800.362.2178,24/7 hotline to report suspected abuse or neglect of a child under 18. Reports can be made anonymously. Be ready to provide identifying information and current location.,http://dhs.iowa.gov,
Citizenshipworks,Virtual / Regional (No Address),Immigrants & Refugees,,,,,,"A national online service that safely guides users step-by-step through the citizenship application process. Provides free, live, online legal help. Resources available 24/7.",https://www.citizenshipworks.org/en,
Cross Outreach,Virtual / Regional (No Address),Financial Assistance,,,,,515.279.9998,"Financial Assistance Helpline: Can assist with rent, deposits, utility bills, laundromat vouchers, gift cards for emergency hygiene/food (households with children), and transitional storage costs. Hours: Mon–Fri 8:30 AM–4:30 PM. P.O. Box 12121.",,
Decoding Dyslexia Iowa,Virtual / Regional (No Address),Education,,,,,,"Aims to raise dyslexia awareness, empower families to support their children, and influence educators/policymakers on best identification and remediation practices. Contact via website form or email.",https://www.decodingdyslexiaiowa.org/,
Des Moines Narcotics Anonymous,Virtual / Regional (No Address),Substance Abuse,,,,,515.784.0524,Des Moines group connecting people with the resources and tools they need to recover from opioid addiction. View website for upcoming meetings.,https://www.narcotics.com/na-meetings/iowa/des-moines/,
Discovery House of Iowa,Virtual / Regional (No Address),Temporary Housing,,,,,,Christian-based sober living house for men in the Des Moines area. Applications are handled online.,https://discoveryhouseia.com/,
DMACC Adult English Language Learner Classes,Virtual / Regional (No Address),Education,,,,,515.697.7762,"Free program to move learners from a beginner level to a solid intermediate level of English communication proficiency, including listening, speaking, reading, and writing. Fill out online form to enroll. Hours vary.",https://www.dmacc.edu/ell,
Dorothy's House,Virtual / Regional (No Address),General Assistance,,,,,,"A safe place for survivors of human trafficking and exploitation to discover their healing journeys through the practice of life. Customized programs provide complete support for all survivors, regardless of race or gender. Fill out an application on the website to apply.",https://dorothyshouse.org/,
Drake Head Start,Virtual / Regional (No Address),Child Care,,,,,515.271.1854,Offers free preschool and other localized social services and developmental programs for children from birth through age 4.,https://drakeheadstart.org/,
Early ACCESS,Virtual / Regional (No Address),Child Care,,,,,"1.888.425.4371, 515.242.8213","Works with families to identify unique child and family developmental needs for children birth to age 3. Determines eligibility for early intervention services and discovers what works best for each child. To make a referral, call the listed lines.",https://educateiowa.gov/pk-12/early-childhood/early-access,
Food Bank of Iowa,Virtual / Regional (No Address),Food Pantries,2220 E 17th St,Des Moines,IA,50316.0,515.564.0330,Acts as a central supply hub that safely provides food logistics and commodities directly to other frontline organizations and regional food pantries serving neighbors in need. Neighbors looking for local public distribution sites should utilize the 'Find Food' tool on their website.,https://www.foodbankiowa.org/,
Gambling Hotline,Virtual / Regional (No Address),Hotlines,,,,,1.855.581.8111,"Immediate, confidential support available 24/7 via phone, text, or web-based video chat for individuals navigating gambling challenges. Part of the Your Life Iowa service framework. Text Line: 855.895.8398.",https://yourlifeiowa.org/,
"Give Grace, Give Hope",Virtual / Regional (No Address),General Assistance,,Johnston,IA,50111.0,,"Supplies essential menstrual products to individuals experiencing barriers to regular product access, focused on reducing stigma and promoting community hygiene. Address listed as regional city-level fulfillment only.",https://www.givegracegivehope.org/,
Hearing Impaired Tax Assistance,Virtual / Regional (No Address),Legal Assistance,,,,,1.800.829.4059,Dedicated telephonic assistance from the IRS for deaf or hard of hearing individuals utilizing TTY/TDD equipment to ask tax questions or order free IRS forms and publications.,https://www.irs.gov/taxtopics/tc102,
Heart and Solutions,Virtual / Regional (No Address),Mental Health,,,,,800.531.4236,"Offers behavioral health intervention services (BHIS) for children ages 4-18 and counseling/therapy services for all ages, including secure telehealth options. Services are completely free to children with Medicaid.",https://heartandsolutions.net/,
Iowa Domestic Violence Hotline,Virtual / Regional (No Address),Hotlines,,,,,1.800.770.1650,"Certified domestic violence advocates available 24/7 to deliver immediate crisis support, safety planning, and resource routing for victims across the state.",,
Iowa Aftercare Services Network,Virtual / Regional (No Address),General Assistance,,,,,800.447.1985,"Helps young adults ages 17-23 navigate the transition to independent adulthood after aging out of foster care or court-ordered placements. Provides life skills training, financial aid, educational planning, and connections to dedicated supportive adults. Reach out via phone or email (info@aftercare).",https://iowaaftercare.org/,
Iowa Coalition Against Domestic Violence,Virtual / Regional (No Address),Legal Assistance,,,,,515.244.8028,"Provides holistic legal representation, system advocacy, and civil rights resources to survivors of domestic violence across Iowa. Administrative hours: Monday-Friday 8 AM-4:30 PM.",http://www.icadv.org/,
Iowa Compass,Virtual / Regional (No Address),Disabilities,"100 Hawkins Drive, #221",Iowa City,IA,52242.0,1.800.779.2001,"Maintains a searchable statewide information and referral clearinghouse containing thousands of localized programs for older adults, individuals with complex medical conditions, and people with disabilities. Map layer designated as regional due to its primary role as an online resource database and its physical location outside the immediate Des Moines metro. Hours: Monday-Friday 8 AM-4:30 PM.",https://iowacompass.org/,
Iowa Concern Hotline,Virtual / Regional (No Address),Hotlines,,,,,1.800.447.1985,"Provides 24/7 access to stress counselors, legal education, and wide-ranging information/referral services for Iowans.",https://www.extension.iastate.edu/iowaconcern/,
Iowa Department of Revenue,Virtual / Regional (No Address),General Assistance,,,,,515.281.3114,Assists with state income tax questions and form access.,https://revenue.iowa.gov/,
Iowa Free Legal Answers,Virtual / Regional (No Address),Legal Assistance,,,,,,"Virtual walk-in legal clinic connecting qualified individuals with Iowa attorneys for free, limited, non-criminal legal assistance.",https://iowa.freelegalanswers.org/,
Iowa Safe At Home,Virtual / Regional (No Address),General Assistance,,,,,515.725.7233,"State-sponsored program supplying a confidential address for survivors of domestic violence, sexual abuse, stalking, and trafficking.",https://safeathome.iowa.gov/,
Iowa Sexual Abuse Hotline,Virtual / Regional (No Address),Hotlines,,,,,1.800.362.2178,24/7 information and referral service for survivors of sexual assault.,https://pcaiowa.org/prevention/sexual-abuse/,
Iowa Spanish Helpline,Virtual / Regional (No Address),Hotlines,,,,,515.344.3936,Confidential help and information for the Spanish-speaking community in Iowa. Operated by the Office of Latino Affairs.,https://hhs.iowa.gov/contacts/iowa-spanish-helpline,
Iowa Victim Services Call Center,Virtual / Regional (No Address),Hotlines,,,,,1.800.770.1650,"Supports victims of domestic/sexual violence, elder abuse, trafficking, and homicide. Connects callers with local resources like shelters and lawyers.",https://www.survivorshelpline.org/,
Meals on Wheels (WesleyLife),Virtual / Regional (No Address),Food Pantries,,,,,515.298.5661,"Delivers meals to individuals with low-mobility. Serves all ages, with limited funding available for adults 60+ and adults with disabilities.",https://www.wesleylife.org/meals-on-wheels,
Mom's Meals,Virtual / Regional (No Address),General Assistance,,,,,1.877.508.6667,"Delivers meals to individuals managing chronic diseases, recuperating at home, or caring for loved ones. Hours: Mon-Fri 7 AM-6 PM.",https://www.momsmeals.com/,
Mothers Against Drunk Driving (MADD) Iowa,Virtual / Regional (No Address),Hotlines,,,,,877.623.3435,Provides 24/7 emotional support and referrals to local community resources for those impacted by drunk driving.,https://www.madd.org/iowa/,
NAMI Helpline,Virtual / Regional (No Address),Hotlines,,,,,800.950.6264,"Free, confidential nationwide service providing one-on-one emotional support, mental health information, and resources.",https://www.nami.org/nami-helpline/,
National Elder Fraud Hotline,Virtual / Regional (No Address),Hotlines,,,,,833.372.8311,"Staffed by professionals to assist victims of elder fraud with reporting crimes and connecting to resources. Available M-F, 9 AM-5 PM CT.",https://ovc.ojp.gov/program/stop-elder-fraud/providing-help-restoring-hope,
National Human Trafficking Hotline,Virtual / Regional (No Address),Hotlines,,,,,1.888.373.7888,"24/7 hotline for victims, survivors, and anyone seeking information/assistance regarding human trafficking.",https://humantraffickinghotline.org/,
National Runaway Safeline,Virtual / Regional (No Address),Hotlines,,,,,1.800.786.2929,24/7 national communication system for runaway and homeless youth.,https://www.1800runaway.org/,
PEER Advocate Program,Virtual / Regional (No Address),General Assistance,,,,,515.286.2112,"Support for Polk County residents age 60+ to access housing, health care, insurance, nutrition, cleaning, yard work, transportation, and legal aid.",https://www.polkcountyiowa.gov/community-family-youth-services/community-and-fa,
People's Law Library of Iowa,Virtual / Regional (No Address),Legal Assistance,,,,,,"Easy-to-understand website providing basic, introductory information about the law. Not legal advice or a replacement for a lawyer.",https://www.peopleslawiowa.org/,
Relay Iowa,Virtual / Regional (No Address),Disabilities,,,,,711,"Provides free telecommunications relay services (TTY, Voice Carry Over, etc.) for those with hearing or speech difficulties.",https://hamiltonrelay.com/iowa/,
Restart Recovery Homes,Virtual / Regional (No Address),Substance Abuse,,,,,515.577.2824,Sober living homes and programs for both men and women.,https://www.restartrecoveryhomes.com/,
S.A.F.E. Center of Iowa,Virtual / Regional (No Address),Sexual Assault,,,,,,Provides clinical services and advocacy for sexual assault survivors; set to open October 2026.,https://safecenteriowa.com/,
Safe Helpline,Virtual / Regional (No Address),Hotlines,,,,,877.995.5247,"Anonymous, confidential support for sexual assault survivors in the DoD community and beyond.",https://safehelpline.org/,
Substance Abuse Resources for Underrepresented Groups,Virtual / Regional (No Address),Substance Abuse,,,,,,"Webpage listing resources for marginalized groups (BIPOC, LGBTQIA2S+, unhoused, veterans, etc.) to support substance use disorder treatment and sobriety.",https://substanceabusecounselor.org/resources-for-marginalized-groups/,
Suicide Prevention Lifeline,Virtual / Regional (No Address),Hotlines,,,,,988,"Free, 24/7 confidential support for people in distress. Supports crisis prevention and provides resources for individuals and professionals. Available in Spanish.",https://suicidepreventionlifeline.org/,
