name,layer,dmpl_category,address,city,state,zip,phone,toolkit_resources,web_link,full_address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Aging Resources of Central Iowa","Physical Location","General Assistance","5835 Grand Avenue, Suite #106","Des Moines",IA,50312.0,515.255.1310,"Provides guidance about and lists of assisted living and memory care facilities, nursing and skilled care facilities, in home providers, and more.",https://www.agingresources.com/resources/,"5835 Grand Avenue, Suite #106, Des Moines, IA 50312",41.58315,-93.69762,1,rooftop,"5835 Grand Ave","Ste 106","Des Moines, IA 50312",5835,"Grand Ave",Ste,106,"Des Moines",IA,"Polk County",50312,US,"Statewide IA",gcod_usnw6jxc8g7erxgh7uadktvgekvx9-8rujvurbblcbe,building_centroid
Al-Anon,"Physical Location","Substance Abuse","939 Office Park Rd. Suite 113","West Des Moines",IA,50265.0,515.277.5059,"The Al-Anon Family Groups are a fellowship of relatives and friends of alcoholics who share their experience, strength, and hope in order to solve their common problems. We believe alcoholism is a family illness, and that changed attitudes can aid recovery.",https://iowa-al-anon.org/,"939 Office Park Rd. Suite 113, West Des Moines, IA 50265",41.591115,-93.715462,0.85,rooftop,"939 Office Park Rd","Ste 113","West Des Moines, IA 50265",939,"Office Park Rd",Ste,113,"West Des Moines",IA,"Polk County",50265,US,"Statewide IA",gcod_usn8h4lakfnbfd5bkgx8r3mc97vlh-d2jqr2azbt3f4,unit
"Alcoholics Anonymous","Physical Location","Substance Abuse","1620 Pleasant Street, Suite 228","Des Moines",IA,50314.0,515.282.8550,"A fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism. Hours: Monday, Wednesday, Friday: 9 AM-4 PM; Tuesday, Thursday: 12 PM-7 PM. 24/7 Hotline: 1.800.207.2172.",https://aadesmoines.org/,"1620 Pleasant Street, Suite 228, Des Moines, IA 50314",41.589655,-93.639508,1,rooftop,"1620 Pleasant St","Ste 228","Des Moines, IA 50314",1620,"Pleasant St",Ste,228,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usn4tcs57kjs4qa4qdysldslnbp6g-26ln3mqlnm2j6,building_centroid
"Amanda the Panda Support Groups","Physical Location",Grief,"1821 Grand Ave.","West Des Moines",IA,50265.0,515.223.4847,"Provides support groups for both adults and children who are grieving the death of a loved one at no charge.",https://everystep.org/grief-loss/amanda-the-panda,"1821 Grand Ave., West Des Moines, IA 50265",41.595207,-93.586067,1,rooftop,"1821 E Grand Ave",,"Des Moines, IA 50316",1821,"E Grand Ave",,,"Des Moines",IA,"Polk County",50316,US,"Statewide IA",gcod_usnl8769zmwt5q34yvsbzbr688ga8,building_centroid
"American Red Cross","Physical Location","General Assistance","2116 Grand Ave.","Des Moines",IA,50312.0,"1.515.243.7681, 1.800.733.2767","Provides disaster relief and recovery, post-emergency recovery, financial assistance, deployment support, veteran services, and community resource referrals. 24/7 Hotline: 1 (800) 733-2767.",https://www.redcross.org/,"2116 Grand Ave., Des Moines, IA 50312",41.584255,-93.645394,1,rooftop,"2116 Grand Ave",,"Des Moines, IA 50312",2116,"Grand Ave",,,"Des Moines",IA,"Polk County",50312,US,"Statewide IA",gcod_usnw6jxc8g7erxghjkuda62w3r9a4,building_centroid
"Anawim Housing","Physical Location",Shelters,"2024 Forest Ave Suite 101","Des Moines",IA,50311.0,515.244.8308,"Provides subsidized rentals for eligible low- and moderate-income families and individuals as well as seniors in need of assisted living.",https://www.anawimhousing.org,"2024 Forest Ave Suite 101, Des Moines, IA 50311",41.603918,-93.644924,1,rooftop,"2024 Forest Ave","Ste 101","Des Moines, IA 50311",2024,"Forest Ave",Ste,101,"Des Moines",IA,"Polk County",50311,US,"Statewide IA",gcod_usn8hyfw3ng39xkgf92lvtpyb87j6-f584rrqw7rsze,unit
"ASK Family Resource Center","Physical Location",Disabilities,"6165 NW 86th St. Ste. 234",Johnston,IA,50131.0,"515.243.1713, 1.800.450.8667","ASK (Access for Special Kids) Resource Center is a parent training, information, and advocacy center for families of children with special needs across the state of Iowa.",https://www.askresource.org/,"6165 NW 86th St. Ste. 234, Johnston, IA 50131",41.671678,-93.734763,1,rooftop,"6165 NW 86th St","Ste 234","Johnston, IA 50131",6165,"NW 86th St",Ste,234,Johnston,IA,"Polk County",50131,US,"Statewide IA",gcod_usn3lugb8bkkf6w3uj2nyhbuhsttg-d48b5ntx6sws9,unit
"Bethel Mission","Physical Location",Shelters,"1310 6th Avenue","Des Moines",IA,50314.0,515.244.5445,"Meals and Men's Shelter: Shelter for men; also serves three meals a day to all community members. Meal Hours: Mon-Sat Breakfast 7AM, Lunch 12PM, Dinner 5PM; Sun Breakfast 8AM, Lunch 1:30PM, Dinner 5PM. Part of Hope Ministries.",https://www.hopeiowa.org/,"1310 6th Avenue, Des Moines, IA 50314",41.602707,-93.626034,1,rooftop,"1310 6th Ave",,"Des Moines, IA 50314",1310,"6th Ave",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usnqpwl38sh6vkd534r6qkwlbm5uc,building_centroid
"Bidwell Pantry","Physical Location","Food Pantries","1203 Hartford Avenue","Des Moines",IA,50315.0,515.989.8413,"Food and clothing items available for free (ID preferred, but not required). Limited amount of food available without ID. Hours: Monday-Friday 10 AM-5 PM. Part of Families Forward.",https://www.familiesforward.org/bidwell-pantry.,"1203 Hartford Avenue, Des Moines, IA 50315",41.569546,-93.598075,1,rooftop,"1203 Hartford Ave",,"Des Moines, IA 50315",1203,"Hartford Ave",,,"Des Moines",IA,"Polk County",50315,US,"Statewide IA",gcod_usnh9balagur6z4h3cy4uzdld7x9c,building_centroid
"Big Brothers Big Sisters of Central Iowa","Physical Location",Education,"2130 Grand Ave","Des Moines",IA,50312.0,515.288.9025,"Creates and supports mentoring relationships that ignite the power and promise of youth at no cost. Intentional matching process evaluates personality and interests.",,"2130 Grand Ave, Des Moines, IA 50312",41.584217,-93.646227,1,rooftop,"2130 Grand Ave",,"Des Moines, IA 50312",2130,"Grand Ave",,,"Des Moines",IA,"Polk County",50312,US,"Statewide IA",gcod_usnw6jxc8g7erxghjrzdzmd26457e,building_centroid
