name,layer,dmpl_category,address,city,state,zip,phone,toolkit_resources,web_link,full_address
AARP Free Tax-Aide Prep,Virtual / Regional (No Address),Financial Assistance,,,,,1.866.554.5378,AARP Foundation Tax-Aide volunteers provide free tax assistance with several preparation options. Access to the different types of taxpayer service type varies in each locality. Search for locations near you using the tax-aide locator on their website.,https://www.aarp.org/money/taxes/aarp-taxaide/locations/,
Aging Resources of Central Iowa,Physical Location,General Assistance,"5835 Grand Avenue, Suite #106",Des Moines,IA,50312.0,515.255.1310,"Provides guidance about and lists of assisted living and memory care facilities, nursing and skilled care facilities, in home providers, and more.",https://www.agingresources.com/resources/,"5835 Grand Avenue, Suite #106, Des Moines, IA 50312"
Al Exito!,Virtual / Regional (No Address),Education,,,,,515.344.3228,Provides Iowa Latinx middle and high school students with after-school programs to develop leadership skills along with college and career readiness.,https://www.alexitoiowa.org/,
Al-Anon,Physical Location,Substance Abuse,939 Office Park Rd. Suite 113,West Des Moines,IA,50265.0,515.277.5059,"The Al-Anon Family Groups are a fellowship of relatives and friends of alcoholics who share their experience, strength, and hope in order to solve their common problems. We believe alcoholism is a family illness, and that changed attitudes can aid recovery.",https://iowa-al-anon.org/,"939 Office Park Rd. Suite 113, West Des Moines, IA 50265"
Alcoholics Anonymous,Physical Location,Substance Abuse,"1620 Pleasant Street, Suite 228",Des Moines,IA,50314.0,515.282.8550,"A fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism. Hours: Monday, Wednesday, Friday: 9 AM-4 PM; Tuesday, Thursday: 12 PM-7 PM. 24/7 Hotline: 1.800.207.2172.",https://aadesmoines.org/,"1620 Pleasant Street, Suite 228, Des Moines, IA 50314"
Amanda the Panda Support Groups,Physical Location,Grief,1821 Grand Ave.,West Des Moines,IA,50265.0,515.223.4847,Provides support groups for both adults and children who are grieving the death of a loved one at no charge.,https://everystep.org/grief-loss/amanda-the-panda,"1821 Grand Ave., West Des Moines, IA 50265"
American Foundation for Suicide Prevention,Virtual / Regional (No Address),Hotlines,,,,,Call or Text 988,The American Foundation for Suicide Prevention has many resources for survivors; go to their website and search by zip code. Immediate 24/7 assistance available by calling or texting 988.,https://afsp.org/,
American Red Cross,Physical Location,General Assistance,2116 Grand Ave.,Des Moines,IA,50312.0,"1.515.243.7681, 1.800.733.2767","Provides disaster relief and recovery, post-emergency recovery, financial assistance, deployment support, veteran services, and community resource referrals. 24/7 Hotline: 1 (800) 733-2767.",https://www.redcross.org/,"2116 Grand Ave., Des Moines, IA 50312"
Anawim Housing,Physical Location,Shelters,2024 Forest Ave Suite 101,Des Moines,IA,50311.0,515.244.8308,Provides subsidized rentals for eligible low- and moderate-income families and individuals as well as seniors in need of assisted living.,https://www.anawimhousing.org,"2024 Forest Ave Suite 101, Des Moines, IA 50311"
ArtForce Iowa,Virtual / Regional (No Address),Education,,,,,515.777.3182,"Artist Mentors spend quality time with struggling youth to encourage creative self-expression, work skills development, and advocacy in a safe supportive community.",http://www.artforceiowa.org/,
ASK Family Resource Center,Physical Location,Disabilities,6165 NW 86th St. Ste. 234,Johnston,IA,50131.0,"515.243.1713, 1.800.450.8667","ASK (Access for Special Kids) Resource Center is a parent training, information, and advocacy center for families of children with special needs across the state of Iowa.",https://www.askresource.org/,"6165 NW 86th St. Ste. 234, Johnston, IA 50131"
Autism Resources at U.S. Airports (travelingwiki.com),Virtual / Regional (No Address),Disabilities,,,,,,"Lists which airports have autism-friendly quiet rooms, along with other traveling resources for people with autism.",https://travelingwiki.com/,
Bethel Mission,Physical Location,Shelters,1310 6th Avenue,Des Moines,IA,50314.0,515.244.5445,"Meals and Men's Shelter: Shelter for men; also serves three meals a day to all community members. Meal Hours: Mon-Sat Breakfast 7AM, Lunch 12PM, Dinner 5PM; Sun Breakfast 8AM, Lunch 1:30PM, Dinner 5PM. Part of Hope Ministries.",https://www.hopeiowa.org/,"1310 6th Avenue, Des Moines, IA 50314"
Bidwell Pantry,Physical Location,Food Pantries,1203 Hartford Avenue,Des Moines,IA,50315.0,515.989.8413,"Food and clothing items available for free (ID preferred, but not required). Limited amount of food available without ID. Hours: Monday-Friday 10 AM-5 PM. Part of Families Forward.",https://www.familiesforward.org/bidwell-pantry.,"1203 Hartford Avenue, Des Moines, IA 50315"
Big Brothers Big Sisters of Central Iowa,Physical Location,Education,2130 Grand Ave,Des Moines,IA,50312.0,515.288.9025,Creates and supports mentoring relationships that ignite the power and promise of youth at no cost. Intentional matching process evaluates personality and interests.,,"2130 Grand Ave, Des Moines, IA 50312"
Book Buddy,Virtual / Regional (No Address),Education,,,,,,Helps children build pre-reading skills before kindergarten. Volunteers read one-on-one with four-year-olds at early childhood centers for 40 mins/week. Sign up via bookbuddy@unitedwaydm.org.,https://www.unitedwaydm.org/book-buddy.,
Boys & Girls Clubs of Central Iowa,Physical Location,Community Centers,1421 Walker St.,Des Moines,IA,50316.0,515.242.7925,"Eight local sites where K-12 students find a safe, supportive place after school and during the summer with structured programming and professional role models.",,"1421 Walker St., Des Moines, IA 50316"
Brain Injury Association of Iowa,Virtual / Regional (No Address),Disabilities,,,,,1.855.444.6443,"Provides resource connection, technical navigation, and organized support groups for individuals surviving brain injuries and their families.",https://biaia.org/,
Bridges of Iowa,Physical Location,Substance Abuse,Polk County Jail System / Admissions,Des Moines,IA,,515.494.8515,"Full range of substance abuse treatment services targeted toward those with limited access to options. Program lasts up to a year and includes treatment, transitional living, and outpatient care. Admissions: dcoughlin@bridgesofia.org.",,"Polk County Jail System / Admissions, Des Moines, IA"
Broadlawns Medical Center & Crisis Services,Physical Location,Medical Assistance,1801 Hickman Road,Des Moines,IA,50314.0,"515.282.2200, 515.283.4811","Offers a complete safety-net medical center (medical, dental, eye, emergency, pharmacy, mental health). Includes Mental Health Emergency Crisis Team (515.283.4811), Crisis Observation Center (515.282.5742), and New Connections Addiction Treatment (515.282.6610).",https://www.broadlawns.org,"1801 Hickman Road, Des Moines, IA 50314"
By Degrees Foundation,Virtual / Regional (No Address),Education,,,,,515.650.8230,Partners directly inside Findley and King Elementary and Harding Middle School to increase graduation and postsecondary readiness rates by engaging localized community partnerships.,https://www.bydegreesfoundation.org/,
Capitol Hill Lutheran Church Clothes Closet,Physical Location,Clothing,511 Des Moines Street,Des Moines,IA,50309.0,515.513.4222,"Clothes Closet distributes a variety of daily clothing items and essential household goods completely free of charge. Hours: Tuesday 1:30 PM-3:30 PM, Saturday 9:30 AM-11:30 AM.",,"511 Des Moines Street, Des Moines, IA 50309"
Caring Hands Altoona Food Pantry,Physical Location,Food Pantries,602 3rd St SW,Altoona,IA,50009.0,515.967.4533,"Serves Southeast Polk, Colfax-Mingo, and Bondurant School Districts, plus all of Pleasant Hill. Provides low-income families with food, clothing, and financial assistance. Hours: M/W/Th/F 11AM-3:30PM; Tue 11AM-4:30PM (appointments only).",,"602 3rd St SW, Altoona, IA 50009"
Catholic Charities Counseling Program,Physical Location,Mental Health,"601 Grand Avenue, 2nd Floor",Des Moines,IA,50309.0,"515.244.3761, 515.237.5053","Licensed clinical therapists address depression, anxiety, stress, relationship issues, child behavioral concerns, trauma, abuse, grief, and loss. Specializes in couples and family clinical systems.",https://www.catholiccharitiesdm.org/our-services/counseling/,"601 Grand Avenue, 2nd Floor, Des Moines, IA 50309"
Catholic Charities Food Pantry (DMARC),Physical Location,Food Pantries,1815 Hubbell Avenue,Des Moines,IA,50316.0,515.262.7290,"Provides individuals and families up to three days worth of food for free. Also provides personal hygiene items, diapers, wipes, formula, and pet food. Hours: Mon-Thu 10 AM-3:30 PM, Fri 9:30 AM-12:30 PM.",http://dmarcunited.org,"1815 Hubbell Avenue, Des Moines, IA 50316"
Center for Behavioral Health,Physical Location,Substance Abuse,95 University Ave. Suite 8,Des Moines,IA,50314.0,844.535.7291,"Substance abuse services, specifically offering methadone treatment options.",https://www.bhgrecovery.com/locations/des-moines,"95 University Ave. Suite 8, Des Moines, IA 50314"
